disease,drug,description
gastritis,gulachyadi kashayam,Has cooling and soothing effects on the stomach.
Tonic,Anar,Utilized as a general tonic.
cardioprotective,Bahera,"Bahera is cardioprotective, supporting heart health and reducing the risk of cardiovascular diseases."
anthelmintic,Bahera,"Bahera has anthelmintic properties, helping to expel intestinal worms and parasites."
migraine,ashwagandha,Helps in managing stress-related migraines.
Deobstruent,"Manjistha, Kala-meshika",Utilized for its deobstruent effects.
Abortifacient,Madana,Used traditionally for inducing abortion.
antidysenteric,Kakamachi,"Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
Sleeplessness,Mulaka,Employed for managing sleeplessness or insomnia.
Antibacterial,Chandan,Employed for its antibacterial properties.
Antibacterial,Chandan,Employed for its antibacterial properties.
Leprosy,Pipli,Used traditionally for leprosy treatment.
Antimitotic,Chandan,Used traditionally with purported antimitotic effects.
arthritis,jahar mohra pishti,Helps in managing arthritis symptoms.
nausea,Laung,Laung helps in relieving nausea and vomiting.
laxative,Kirata-tikta,"Kirata-tikta acts as a laxative, promoting bowel movements and relieving constipation."
arthritis,nirugandi leaves paste,Provides relief from arthritis symptoms.
migraine,Shankh Vati + Shankh Bhasma,Reduces migraine symptoms and frequency.
arthritis,kamdhudha ras,Provides relief from arthritis pain and inflammation.
arthritis,mukta pishti,Reduces joint pain and stiffness in arthritis.
stimulant,Jaiphal,Utilized as a stimulant
Chronic bronchitis,Kushta,Employed in traditional medicine for chronic bronchitis relief.
Expectorant,Madana,Utilized for its expectorant properties.
Antioxidant,Draksha,"Draksha exhibits antioxidant properties, helping to combat oxidative stress and promote overall health."
 laxative,Draksha,"Draksha acts as a natural laxative, aiding in relieving constipation and promoting regular bowel movements."
arthritis,praval pisti,Reduces joint pain and inflammation in arthritis.
migraine,fenugreek,Helps in relieving migraine symptoms.
gastritis,shivakshar pachan churna,Improves digestion and reduces acidity.
Emetic,Madana,Employed as an emetic agent.
expectorant,Jaiphal,Used for its expectorant properties.
Tonic,Anar,Utilized as a general tonic.
migraine,Mukta pishti,No description available
arthritis,kamdhudha ras,Provides relief from arthritis pain and inflammation.
Diaphoretic,Madana,Used traditionally as a diaphoretic agent.
Antifungal,Chandan,Used traditionally as an antifungal agent.
Carminative,Pipli,Utilized for its carminative properties.
Rheumatism,"Manjistha, Kala-meshika",Employed traditionally for rheumatism relief.
migraine,shankh-vati,Reduces migraine frequency and severity.
gastritis,panchkol churna,Improves digestion and reduces acidity.
migraine,ginger,Alleviates nausea and vomiting during migraines.
Rejuvenating,"Manjistha, Kala-meshika",Employed for rejuvenation purposes.
pimples ,Sharapunkha,"Sharapunkha aids in treating pimples and acne, reducing inflammation and promoting clear skin."
migraine,drakshasava,Helps in managing migraine attacks.
diarrhea,fenugreek seed,Helps in reducing loose motions and abdominal discomfort.
abscesses,"Methika, Chandrika","Methika and Chandrika help in the treatment of abscesses, promoting healing and reducing inflammation."
hypocholesterolemic,Arjuna,"Arjuna has hypocholesterolemic properties, helping to lower cholesterol levels in the blood."
Astringent tonic,"Gandhini, Pitamulika",Employed as an astringent tonic.
Nervine calmative,Madana,Utilized for its calming effects on the nervous system.
cardioprotective,Bahera,"Bahera is cardioprotective, supporting heart health and reducing the risk of cardiovascular diseases."
Stomach disorders,"Gandhini, Pitamulika",Used traditionally for various stomach disorders.
Leprosy,Pipli,Used traditionally for leprosy treatment.
Dyspepsia,Bark,Used for indigestion or dyspepsia.
Diuretic,Bilai kand,Used for its diuretic effects.
Antihelmintic,"Bakuchi, Kushthanashini",Used for expelling or destroying intestinal worms.
Leprosy,"Bakuchi, Kushthanashini",Employed in traditional medicine for leprosy treatment.
aphrodisiac,Jaiphal,Utilized traditionally as an aphrodisiac
 diuretic,Draksha,"Draksha has diuretic properties, promoting urine production and helping to flush out toxins from the body."
Dysentery,Bark,Employed traditionally to alleviate symptoms of dysentery.
Epilepsy,Pipli,Used traditionally for managing epilepsy.
stimulant,Jaiphal,Utilized as a stimulant
Antioxidant,Draksha,"Draksha exhibits antioxidant properties, helping to combat oxidative stress and promote overall health."
Demulcent,Bilai kand,"Employed as a demulcent, soothing agent."
Diarrhea,Mulaka,Used traditionally for diarrhea relief.
 diuretic,Draksha,"Draksha has diuretic properties, promoting urine production and helping to flush out toxins from the body."
diarrhea,bilwa,Helps in controlling loose motions.
bronchitis,Sharapunkha,"Sharapunkha is beneficial for bronchitis, helping to reduce inflammation and promote healing."
diarrhea,mrutyunjay rasa,Reduces loose motions and strengthens digestion.
arthritis,praval pisti,Reduces joint pain and inflammation in arthritis.
diarrhea,tribhuvan kirti rasa,Controls diarrhea and improves digestion.
antiulcer,"Karaskara, Chipita",Karaskara and Chipita help in reducing ulcer formation and promoting healing of gastric ulcers.
arthritis,nirugandi leaves paste,Provides relief from arthritis symptoms.
Anthelmintic,Pipli,Used for expelling or destroying intestinal worms.
Dysentery,Bark,Employed traditionally to alleviate symptoms of dysentery.
migraine,shankhapushpi,Calms the nervous system and reduces migraine frequency.
arthritis,dashmool oil,Reduces arthritis pain and stiffness.
Biliousness,Bark,Addressing biliousness or excess bile secretion.
Stimulant,"Gandhini, Pitamulika",Utilized for its stimulating effects.
abscesses,"Methika, Chandrika","Methika and Chandrika help in the treatment of abscesses, promoting healing and reducing inflammation."
hypocholesterolemic,Arjuna,"Arjuna has hypocholesterolemic properties, helping to lower cholesterol levels in the blood."
abdominal pain,Kakamachi,Kakamachi helps in relieving abdominal pain and discomfort.
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
Antispasmodic,Madana,Employed for its antispasmodic properties.
styptic,Arjuna,"Arjuna is styptic, helping to stop bleeding by promoting clotting."
Emetic,Madana,Employed as an emetic agent.
migraine,Jyotishmati,No description available
Antiseptic,"Manjistha, Kala-meshika",Employed for its antiseptic properties.
Purgative,"Gandhini, Pitamulika",Used as a purgative agent.
Emetic,Madana,Employed as an emetic agent.
gastritis,gulachyadi kashayam,Has cooling and soothing effects on the stomach.
migraine,Vasant Kusumakar Ras,No description available
 diuretic,Draksha,"Draksha has diuretic properties, promoting urine production and helping to flush out toxins from the body."
vermin-killers,"Karaskara, Chipita","Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
Purgative,"Gandhini, Pitamulika",Used as a purgative agent.
 analgesic,Bahera,"Bahera has analgesic properties, providing relief from pain."
Antiviral,Chandan,Employed traditionally as an antiviral agent.
arthritis,giloy satya,"Has anti-inflammatory properties, beneficial for arthritis."
migraine,Shankha prakshalana,No description available
expectorant,Jaiphal,Used for its expectorant properties.
abdominal pain,Kakamachi,Kakamachi helps in relieving abdominal pain and discomfort.
Bioavailability enhancer,Pipli,Used for enhancing bioavailability of other substances.
migraine,Shankha prakshalana,No description available
astringent,Bahera,"Bahera has astringent properties, helping to tighten and tone tissues."
Colic,Bark,Used for the relief of colic pain.
expectorant,Jaiphal,Used for its expectorant properties.
vomiting,Laung, Laung helps in reducing vomiting and soothing the stomach.
migraine,Shankh Vati + Shankh Bhasma,Reduces migraine symptoms and frequency.
migraine,pathyadi guggulu,Reduces migraine symptoms and frequency.
Sleeplessness,Mulaka,Employed for managing sleeplessness or insomnia.
arthritis,aamvatantak churna,Provides relief from arthritis pain and stiffness.
Chronic bronchitis,Kushta,Employed in traditional medicine for chronic bronchitis relief.
Rejuvenating,"Amrita, Guluchi, Jwarari","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
arthritis,dashmool powder with water,Provides relief from joint pain and inflammation.
Appetizer,Mulaka,Employed as an appetizer.
diarrhea,bilwa,Helps in controlling loose motions.
Intelligence promoting,Anar,Employed traditionally for promoting intelligence.
Counter-irritant,Pipli,Employed as a counter-irritant.
astringent,Prasarani,Employed for its astringent properties.
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
Astringent,Anar,Used traditionally for its astringent effects.
Demulcent,Bilai kand,"Employed as a demulcent, soothing agent."
Bioavailability enhancer,Pipli,Used for enhancing bioavailability of other substances.
Emetic,Madana,Employed as an emetic agent.
arthritis,nirugandi leaves paste,Provides relief from arthritis symptoms.
Appetizer,Mulaka,Employed as an appetizer.
vermifuge,Jaiphal, Employed for expelling intestinal worms.
diarrhea,kutaja,Reduces intestinal inflammation and diarrhea.
inflammation of spleen,Prasarani,mployed traditionally for inflammation of the spleen.
vermin-killers,"Karaskara, Chipita","Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
arthritis,aamvatantak churna,Provides relief from arthritis pain and stiffness.
Diaphoretic,Madana,Used traditionally as a diaphoretic agent.
Sedative,Pipli,Employed for its sedative effects.
Epilepsy,Pipli,Used traditionally for managing epilepsy.
Diarrhea,Anar,Used traditionally for diarrhea relief.
Astringent tonic,"Gandhini, Pitamulika",Employed as an astringent tonic.
gastritis,indukantham kashayam,Reduces gastritis symptoms and improves digestion.
antidysenteric,Kakamachi,"Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
expectorant,Jaiphal,Used for its expectorant properties.
Neuralgia tonic,"Manjistha, Kala-meshika",Used traditionally for neuralgia relief.
carminative,"Methika, Chandrika","Methika and Chandrika are carminative, helping to relieve gas and bloating."
Expectorant,Madana,Utilized for its expectorant properties.
Stomach disorders,"Gandhini, Pitamulika",Used traditionally for various stomach disorders.
Neuralgia tonic,"Manjistha, Kala-meshika",Used traditionally for neuralgia relief.
migraine,Vasant Kusumakar Ras,No description available
arthritis,ricinus communis,Reduces joint pain and inflammation.
diarrhea,lime juice,Helps balance stomach pH and combat pathogens.
laxative,Kirata-tikta,"Kirata-tikta acts as a laxative, promoting bowel movements and relieving constipation."
Asthma,Kushta,Used traditionally for managing asthma symptoms.
Antispasmodic,Madana,Employed for its antispasmodic properties.
tonic,Prasarani,Used as a tonic.
gastritis,hingvastak churna,Reduces gastritis symptoms like bloating and acidity.
 diuretic,Draksha,"Draksha has diuretic properties, promoting urine production and helping to flush out toxins from the body."
nausea,Laung,Laung helps in relieving nausea and vomiting.
Diaphoretic,Madana,Used traditionally as a diaphoretic agent.
emollient,Kakamachi,"Kakamachi acts as an emollient, soothing and softening the skin."
diuretic,Prasarani, Used for its diuretic effects.
arthritis,praval pisti,Reduces joint pain and inflammation in arthritis.
sugars,Draksha,"Draksha contains natural sugars, providing a source of energy and sweetness."
Galactogogue,Bilai kand,Employed to promote lactation.
Sedative,Pipli,Employed for its sedative effects.
abscesses,"Methika, Chandrika","Methika and Chandrika help in the treatment of abscesses, promoting healing and reducing inflammation."
Rheumatism,"Manjistha, Kala-meshika",Employed traditionally for rheumatism relief.
Antibacterial,Chandan,Employed for its antibacterial properties.
migraine,drakshasava,Helps in managing migraine attacks.
Cough,Phyllanthus emblica (fruits) 25% Adhatoda vasica (leaves) 20% Ocimum sanctum (leaves) 10% Piper longum (fruits) 10% Zingiber officinale (roots) 10% Glycyrrhiza glabra (roots) 15% Solanum xanthocarpum (whole plant) 10%,this combination is help you to relief from cough
gastritis,panchkol churna,Improves digestion and reduces acidity.
gastritis,trikatu churna,Reduces acidity and promotes healing of the stomach lining.
Purgative,"Gandhini, Pitamulika",Used as a purgative agent.
 stomachic ,Draksha,"Draksha is beneficial for the stomach, aiding in digestion and soothing gastrointestinal discomfort."
Anthelmintic,Madana,Employed for expelling intestinal worms.
migraine,ginger,Alleviates nausea and vomiting during migraines.
diarrhea,dadimashtaka churna,Alleviates diarrhea symptoms and improves digestion.
Astringent,"Manjistha, Kala-meshika",Employed for its astringent properties.
cough,Sharapunkha, Sharapunkha helps in relieving cough and soothing respiratory irritation.
Astringent,Anar,Used traditionally for its astringent effects.
inflammation of spleen,Prasarani,mployed traditionally for inflammation of the spleen.
ulcers,"Methika, Chandrika","Methika and Chandrika are beneficial for ulcers, soothing irritation and promoting healing."
tonic,Arjuna,"Arjuna acts as a tonic, promoting overall health and vitality."
ulcers,"Methika, Chandrika","Methika and Chandrika are beneficial for ulcers, soothing irritation and promoting healing."
 gastric,Laung, Laung helps in soothing gastric irritation and promoting digestion.
arthritis,nirugandi oil,Reduces joint pain and inflammation.
Depurative properties,Mulaka,Utilized for its depurative or purifying properties.
arthritis,dashmool oil,Reduces arthritis pain and stiffness.
Leprosy,Pipli,Used traditionally for leprosy treatment.
Headache,Mulaka,Used traditionally for headache relief.
styptic,Arjuna,"Arjuna is styptic, helping to stop bleeding by promoting clotting."
Purgative,"Gandhini, Pitamulika",Used as a purgative agent.
constipation,Holarrhena antidysenterica (bark) 10% Plumbago ovata (husk) 20% Terminalia bellerica (fruits) 10% T. chebula (fruits) 15% Phyllanthus emblica (fruits) 15% Cassia angustifolia (leaves) 20% Glycyrrhiza glabra (roots) 10%,this combination is help you to relief from constipation
gastritis,hingwastaka churna,Relieves gastritis symptoms like bloating and acidity.
aphrodisiac,Jaiphal,Utilized traditionally as an aphrodisiac
arthritis,akik pishti,Provides relief from arthritis pain and stiffness.
Carminative,Pipli,Utilized for its carminative properties.
gastritis,hingvastak churna,Reduces gastritis symptoms like bloating and acidity.
abscesses,"Methika, Chandrika","Methika and Chandrika help in the treatment of abscesses, promoting healing and reducing inflammation."
migraine,Jatamansi + Shankhapushpi,Provides relief from migraine symptoms and frequency.
Antiseptic,"Manjistha, Kala-meshika",Employed for its antiseptic properties.
aperient,Bahera,"Bahera acts as an aperient, promoting gentle bowel movements and relieving constipation."
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
antiarthritic,Bahera,Bahera helps in reducing arthritis symptoms and inflammation.
Stimulant,"Gandhini, Pitamulika",Utilized for its stimulating effects.
arthritis,aamvatantak churna,Provides relief from arthritis pain and stiffness.
gastritis,laxative,Alleviates constipation and discomfort.
arthritis,nirugandi leaves paste,Provides relief from arthritis symptoms.
asthma,Sharapunkha,Sharapunkha aids in managing asthma symptoms and promoting respiratory health.
gastritis,sankha vati,Soothes gastric irritation and improves digestion.
Diabetes,Gymnema sylvestre (leaves) 30% Tinospora cordifolia (stems) 15% Azadirachta indica (leaves) 10% Phyllanthus emblica (fruits) 20% Curcuma longa (roots) 10% Aegle marmelos (leaves) 15%,this combination is help you to relief from diabetes
migraine,Shankha prakshalana,No description available
febrifugal,Kirata-tikta,Kirata-tikta aids in reducing fever and promoting recovery from infections.
Anthelmintic,Madana,Employed for expelling intestinal worms.
Diuretic,Bilai kand,Used for its diuretic effects.
tonic,Arjuna,"Arjuna acts as a tonic, promoting overall health and vitality."
gastritis,lavan bhasker churna,Soothes gastric irritation and improves digestion.
Neuralgia tonic,"Manjistha, Kala-meshika",Used traditionally for neuralgia relief.
Emetic,Madana,Employed as an emetic agent.
arthritis,ricinus communis,Reduces joint pain and inflammation.
carminative,"Methika, Chandrika","Methika and Chandrika are carminative, helping to relieve gas and bloating."
aphrodisiac,Jaiphal,Utilized traditionally as an aphrodisiac
arthritis,boswellia curcumin,Reduces joint inflammation and improves mobility.
Dysentery,Bark,Employed traditionally to alleviate symptoms of dysentery.
migraine,ginger,Alleviates nausea and vomiting during migraines.
treat boils,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
migraine,Anu Taila + Shankhapushpi,Calms the nervous system and reduces migraine attacks.
migraine,Shankh Vati + Shankh Bhasma,Reduces migraine symptoms and frequency.
febrifugal,Kirata-tikta,Kirata-tikta aids in reducing fever and promoting recovery from infections.
migraine,ashwagandha,Helps in managing stress-related migraines.
Counter-irritant,Pipli,Employed as a counter-irritant.
Anthelmintic,Pipli,Used for expelling or destroying intestinal worms.
Skin protective,Chandan,Utilized for its skin-protective properties.
arthritis,akik pishti,Provides relief from arthritis pain and stiffness.
vomiting,Laung, Laung helps in reducing vomiting and soothing the stomach.
tonic,Jaiphal,Employed as a tonic
Antispasmodic,Madana,Employed for its antispasmodic properties.
Stomach disorders,"Gandhini, Pitamulika",Used traditionally for various stomach disorders.
Antidysenteric,"Manjistha, Kala-meshika",Used traditionally for dysentery relief.
Sedative,Pipli,Employed for its sedative effects.
Counter-irritant,Pipli,Employed as a counter-irritant.
gastritis,gulachyadi kashayam,Has cooling and soothing effects on the stomach.
Aphrodisiac,Bilai kand,Employed as an aphrodisiac.
Gall bladder troubles,Mulaka,Addressing issues related to the gallbladder.
antidysenteric,Kakamachi,"Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
gastritis,hingwastaka churna,Relieves gastritis symptoms like bloating and acidity.
arthritis,dashmool oil,Reduces arthritis pain and stiffness.
boils,Sharapunkha,"Sharapunkha helps in treating boils, promoting healing and reducing inflammation."
Headache,Mulaka,Used traditionally for headache relief.
arthritis,mukta pishti,Reduces joint pain and stiffness in arthritis.
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
Rejuvenating,"Manjistha, Kala-meshika",Employed for rejuvenation purposes.
hypocholesterolemic,Arjuna,"Arjuna has hypocholesterolemic properties, helping to lower cholesterol levels in the blood."
Antifungal,Chandan,Used traditionally as an antifungal agent.
migraine,drakshasava,Helps in managing migraine attacks.
Diuretic,"Bakuchi, Kushthanashini",Employed for its diuretic effects.
Rejuvenating,"Manjistha, Kala-meshika",Employed for rejuvenation purposes.
Antiseptic,"Manjistha, Kala-meshika",Employed for its antiseptic properties.
febrifugal,Kirata-tikta,Kirata-tikta aids in reducing fever and promoting recovery from infections.
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
 gastric,Laung, Laung helps in soothing gastric irritation and promoting digestion.
gastritis,hingvadi vati,Alleviates gastritis symptoms like bloating and discomfort.
migraine,Mudgaparni,No description available
gastritis,shivakshar pachan churna,Improves digestion and reduces acidity.
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
ulcers,"Methika, Chandrika","Methika and Chandrika are beneficial for ulcers, soothing irritation and promoting healing."
Antifungal,Chandan,Used traditionally as an antifungal agent.
migraine,ginger,Alleviates nausea and vomiting during migraines.
Dysentery,Bark,Employed traditionally to alleviate symptoms of dysentery.
Galactogogue,Bilai kand,Employed to promote lactation.
 stomachic ,Draksha,"Draksha is beneficial for the stomach, aiding in digestion and soothing gastrointestinal discomfort."
Antidysenteric,"Manjistha, Kala-meshika",Used traditionally for dysentery relief.
diarrhea,promegranate drink,Promotes digestion and reduces inflammation.
laxative,Kirata-tikta,"Kirata-tikta acts as a laxative, promoting bowel movements and relieving constipation."
Skin protective,Chandan,Utilized for its skin-protective properties.
gastritis,indukantham kashayam,Reduces gastritis symptoms and improves digestion.
Tonic,Anar,Utilized as a general tonic.
gastritis,citrakadhi vati,Reduces acidity and promotes healing of the stomach lining.
migraine,fenugreek,Helps in relieving migraine symptoms.
Stomach disorders,"Gandhini, Pitamulika",Used traditionally for various stomach disorders.
fever,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari help in reducing fever and promoting recovery from infections."
expectorant,Jaiphal,Used for its expectorant properties.
migraine,Jatamansi + Shankhapushpi,Provides relief from migraine symptoms and frequency.
Galactogogue,Bilai kand,Employed to promote lactation.
Diuretic,Bilai kand,Used for its diuretic effects.
Diaphoretic,Madana,Used traditionally as a diaphoretic agent.
Epilepsy,Pipli,Used traditionally for managing epilepsy.
migraine,Shankha prakshalana,No description available
nausea,Laung,Laung helps in relieving nausea and vomiting.
laxative,Kakamachi,"Kakamachi acts as a laxative, promoting bowel movements and relieving constipation."
gastritis,hingvastak churna,Reduces gastritis symptoms like bloating and acidity.
Carminative,Pipli,Utilized for its carminative properties.
astringent,Bahera,"Bahera has astringent properties, helping to tighten and tone tissues."
Epilepsy,Pipli,Used traditionally for managing epilepsy.
vermifuge,Sharapunkha,"Sharapunkha acts as a vermifuge, helping to expel intestinal worms and parasites."
laxative,Kakamachi,"Kakamachi acts as a laxative, promoting bowel movements and relieving constipation."
Tonic,Anar,Utilized as a general tonic.
migraine,trikatu,Reduces migraine intensity and frequency.
arthritis,suhunjana beej,Provides relief from arthritis pain and stiffness.
constipation,Holarrhena antidysenterica (bark) 10% Plumbago ovata (husk) 20% Terminalia bellerica (fruits) 10% T. chebula (fruits) 15% Phyllanthus emblica (fruits) 15% Cassia angustifolia (leaves) 20% Glycyrrhiza glabra (roots) 10%,this combination is help you to relief from constipation
Leprosy,"Bakuchi, Kushthanashini",Employed in traditional medicine for leprosy treatment.
gastritis,hingvadi vati,Alleviates gastritis symptoms like bloating and discomfort.
tonic,Prasarani,Used as a tonic.
arthritis,akik pishti,Provides relief from arthritis pain and stiffness.
Antioxidant,Draksha,"Draksha exhibits antioxidant properties, helping to combat oxidative stress and promote overall health."
gastritis,lavanaabhaskara churna,Soothes gastric irritation and improves digestion.
ulcers,"Methika, Chandrika","Methika and Chandrika are beneficial for ulcers, soothing irritation and promoting healing."
arthritis,ricinus communis,Reduces joint pain and inflammation.
diarrhea,mrutyunjay rasa,Reduces loose motions and strengthens digestion.
arthritis,praval pisti,Reduces joint pain and inflammation in arthritis.
expectorant,Jaiphal,Used for its expectorant properties.
gastritis,phadke, Provides relief from gastritis symptoms like bloating and discomfort.
expectorant,Jaiphal,Used for its expectorant properties.
Diuretic,"Gokshura, Ikshugancdha","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
gastritis,citrakadhi vati,Reduces acidity and promotes healing of the stomach lining.
gastritis,hingwastaka churna,Relieves gastritis symptoms like bloating and acidity.
Headache,Mulaka,Used traditionally for headache relief.
Purgative,"Gandhini, Pitamulika",Used as a purgative agent.
 diuretic,Draksha,"Draksha has diuretic properties, promoting urine production and helping to flush out toxins from the body."
Sedative,Pipli,Employed for its sedative effects.
Piles,Bark,Utilized in traditional medicine for hemorrhoids or piles.
astringent,Bahera,"Bahera has astringent properties, helping to tighten and tone tissues."
treat boils,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
Piles,Bark,Utilized in traditional medicine for hemorrhoids or piles.
Aromatic,"Methika, Chandrika","Methika and Chandrika have aromatic properties, imparting a pleasant aroma and flavor to dishes."
Asthma,Kushta,Used traditionally for managing asthma symptoms.
aperient,Bahera,"Bahera acts as an aperient, promoting gentle bowel movements and relieving constipation."
Dysentery,Bark,Employed traditionally to alleviate symptoms of dysentery.
Antiviral,Chandan,Employed traditionally as an antiviral agent.
diuretic,Kakamachi,"Kakamachi has diuretic properties, promoting urine production and helping to flush out toxins from the body."
Demulcent,Bilai kand,"Employed as a demulcent, soothing agent."
Antioxidant,Draksha,"Draksha exhibits antioxidant properties, helping to combat oxidative stress and promote overall health."
arthritis,nirugandi oil,Reduces joint pain and inflammation.
anti-diarrheal,Kirata-tikta,"Kirata-tikta helps in managing diarrhea, reducing frequency and severity of episodes."
 analgesic,Bahera,"Bahera has analgesic properties, providing relief from pain."
Carminative,Pipli,Utilized for its carminative properties.
migraine,fenugreek,Helps in relieving migraine symptoms.
Purgative,"Gandhini, Pitamulika",Used as a purgative agent.
Counter-irritant,Pipli,Employed as a counter-irritant.
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
diarrhea,haritaki,Aids in digestion and reduces diarrhea symptoms.
asthma,Sharapunkha,Sharapunkha aids in managing asthma symptoms and promoting respiratory health.
Headache,Mulaka,Used traditionally for headache relief.
Gastrointestinal disorders,Anar,Utilized for various gastrointestinal disorders.
 stomachic ,Draksha,"Draksha is beneficial for the stomach, aiding in digestion and soothing gastrointestinal discomfort."
migraine,Anu Taila + Shankhapushpi,Calms the nervous system and reduces migraine attacks.
Astringent,Anar,Used traditionally for its astringent effects.
anthelmintic,Bahera,"Bahera has anthelmintic properties, helping to expel intestinal worms and parasites."
Haematinic,Pipli,Employed for its effects on blood formation.
 demulcent,Draksha,"Draksha acts as a demulcent, soothing and protecting mucous membranes in the body."
Counter-irritant,Pipli,Employed as a counter-irritant.
Antihelmintic,"Bakuchi, Kushthanashini",Used for expelling or destroying intestinal worms.
migraine,pathyadi guggulu,Reduces migraine symptoms and frequency.
boils,Sharapunkha,"Sharapunkha helps in treating boils, promoting healing and reducing inflammation."
gastritis,lavan bhasker churna,Soothes gastric irritation and improves digestion.
gastritis,hingvadi vati,Alleviates gastritis symptoms like bloating and discomfort.
 demulcent,Draksha,"Draksha acts as a demulcent, soothing and protecting mucous membranes in the body."
treat boils,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
Abortifacient,Madana,Used traditionally for inducing abortion.
cough,Sharapunkha, Sharapunkha helps in relieving cough and soothing respiratory irritation.
diarrhea,fenugreek seed,Helps in reducing loose motions and abdominal discomfort.
emollient,Kakamachi,"Kakamachi acts as an emollient, soothing and softening the skin."
gastritis,panchkol churna,Improves digestion and reduces acidity.
gastritis,gulachyadi kashayam,Has cooling and soothing effects on the stomach.
diarrhea,sitopaladi churna,Promotes digestion and reduces inflammation.
Deobstruent,"Manjistha, Kala-meshika",Utilized for its deobstruent effects.
Nervine calmative,Madana,Utilized for its calming effects on the nervous system.
Dysentery,Anar,Employed for its effects on dysentery.
Diaphoretic,Madana,Used traditionally as a diaphoretic agent.
laxative,Kakamachi,"Kakamachi acts as a laxative, promoting bowel movements and relieving constipation."
gastritis,gandharvahastadi kashaya,Soothes acidity and improves digestion.
tonic,"Methika, Chandrika","Methika and Chandrika act as tonics, promoting overall health and well-being."
migraine,ashwagandha,Helps in managing stress-related migraines.
gastritis,ajamodarka,Aids in digestion and reduces gastritis symptoms.
Deobstruent,"Manjistha, Kala-meshika",Utilized for its deobstruent effects.
Deobstruent,"Manjistha, Kala-meshika",Utilized for its deobstruent effects.
cardioprotective,Bahera,"Bahera is cardioprotective, supporting heart health and reducing the risk of cardiovascular diseases."
treat boils,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
emollient,Kakamachi,"Kakamachi acts as an emollient, soothing and softening the skin."
aphrodisiac,Jaiphal,Utilized traditionally as an aphrodisiac
gastritis,trikatu churna,Reduces acidity and promotes healing of the stomach lining.
Dyspepsia,Bark,Used for indigestion or dyspepsia.
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
galactagogue,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
migraine,Shankha prakshalana,No description available
migraine,shankhapushpi,Calms the nervous system and reduces migraine frequency.
Dysentery,Bark,Employed traditionally to alleviate symptoms of dysentery.
arthritis,jahar mohra pishti,Helps in managing arthritis symptoms.
Purgative,"Gandhini, Pitamulika",Used as a purgative agent.
Antiviral,Chandan,Employed traditionally as an antiviral agent.
gastritis,trikatu churna,Reduces acidity and promotes healing of the stomach lining.
Antifungal,Chandan,Used traditionally as an antifungal agent.
gastritis,lavanaabhaskara churna,Soothes gastric irritation and improves digestion.
abscesses,"Methika, Chandrika","Methika and Chandrika help in the treatment of abscesses, promoting healing and reducing inflammation."
abscesses,"Methika, Chandrika","Methika and Chandrika help in the treatment of abscesses, promoting healing and reducing inflammation."
stimulant,Jaiphal,Utilized as a stimulant
hypocholesterolemic,Arjuna,"Arjuna has hypocholesterolemic properties, helping to lower cholesterol levels in the blood."
vomiting,Laung, Laung helps in reducing vomiting and soothing the stomach.
Rejuvenating,"Amrita, Guluchi, Jwarari","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
diarrhea,kutajarishta,Controls diarrhea and reduces intestinal inflammation.
diarrhea,sanjivani vati,Provides relief from diarrhea and associated symptoms.
arthritis,ajwan water,Helps in reducing arthritis pain.
Astringent,"Manjistha, Kala-meshika",Employed for its astringent properties.
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
Gastrointestinal disorders,Anar,Utilized for various gastrointestinal disorders.
arthritis,mukta pishti,Reduces joint pain and stiffness in arthritis.
Expectorant,Madana,Utilized for its expectorant properties.
Diuretic,"Gokshura, Ikshugancdha","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
styptic,Arjuna,"Arjuna is styptic, helping to stop bleeding by promoting clotting."
nausea,Laung,Laung helps in relieving nausea and vomiting.
